State,Total Population (2023),Adult Population (2023),Total LGBT % (HPS 2022),Gay Male % (Est. from Gallup),Gay Male Count (Estimated),Lesbian % (Est. from Gallup),Lesbian Count (Estimated),Bisexual % (Est. from Gallup),Total LGBT Count (Estimated)
Alabama,5108468,3933520,7.38,1.53,60090,1.03,40350,4.19,290293
Alaska,733406,564722,9.12,1.89,10661,1.27,7158,5.18,51502
Arizona,7431344,5722134,8.61,1.78,101983,1.2,68481,4.89,492675
Arkansas,3067732,2362153,7.72,1.6,37748,1.07,25347,4.38,182358
California,38965193,30003198,9.83,2.03,610508,1.37,409954,5.58,2949314
Colorado,5877610,4525759,9.96,2.06,93308,1.38,62656,5.66,450765
Connecticut,3617176,2785225,8.8,1.82,50735,1.22,34068,5.0,245099
Delaware,1018396,784164,10.87,2.25,17644,1.51,11848,6.17,85238
District of Columbia,678972,522808,16.27,3.37,17607,2.26,11823,9.24,85060
Florida,22610726,17410259,8.65,1.79,311739,1.2,209332,4.91,1505987
Georgia,11029227,8492504,8.37,1.73,147140,1.16,98804,4.75,710822
Hawaii,1435138,1105056,8.08,1.67,18482,1.12,12411,4.59,89288
Idaho,1964726,1512839,7.6,1.57,23799,1.06,15981,4.32,114975
Illinois,12582032,9688164,8.38,1.73,168056,1.16,112849,4.76,811868
Indiana,6862199,5283893,8.08,1.67,88376,1.12,59344,4.59,426938
Iowa,3207004,2469393,7.44,1.54,38030,1.03,25537,4.23,183722
Kansas,2940546,2264220,7.88,1.63,36933,1.1,24800,4.48,178420
Kentucky,4526154,3485138,7.83,1.62,56487,1.09,37931,4.45,272886
Louisiana,4573749,3521786,7.56,1.56,55113,1.05,37008,4.29,266247
Maine,1395722,1074705,8.53,1.77,18976,1.19,12742,4.85,91672
Maryland,6164660,4746788,8.69,1.8,85386,1.21,57336,4.94,412495
Massachusetts,7001399,5391077,9.6,1.99,107131,1.33,71938,5.45,517543
Michigan,10037261,7728690,8.28,1.71,132466,1.15,88951,4.7,639935
Minnesota,5737915,4418194,8.48,1.76,77555,1.18,52078,4.82,374662
Mississippi,2939690,2263561,4.93,1.02,23099,0.69,15511,2.8,111593
Missouri,6196156,4771040,7.99,1.65,78909,1.11,52987,4.54,381206
Montana,1122867,864607,7.64,1.58,13673,1.06,9181,4.34,66055
Nebraska,1978379,1523351,7.85,1.62,24753,1.09,16622,4.46,119583
Nevada,3177772,2446884,9.44,1.95,47814,1.31,32107,5.36,230985
New Hampshire,1395231,1074327,8.19,1.7,18213,1.14,12230,4.65,87987
New Jersey,9290841,7153947,8.23,1.7,121875,1.14,81839,4.67,588769
New Mexico,2114371,1628065,9.36,1.94,31544,1.3,21181,5.32,152386
New York,19571216,15069836,9.23,1.91,287925,1.28,193341,5.24,1390945
North Carolina,10835491,8343328,7.53,1.56,130048,1.05,87327,4.28,628252
North Dakota,783926,603623,7.43,1.54,9283,1.03,6234,4.22,44849
Ohio,11785935,9075169,7.55,1.56,141831,1.05,95239,4.29,685175
Oklahoma,4053824,3121444,7.9,1.64,51044,1.1,34276,4.49,246594
Oregon,4240137,3264905,10.81,2.24,73057,1.5,49058,6.14,352936
Pennsylvania,12961683,9980495,8.79,1.82,181598,1.22,121942,4.99,877285
Rhode Island,1095962,843890,8.72,1.81,15232,1.21,10228,4.95,73587
South Carolina,5373555,4137637,7.47,1.55,63979,1.04,42962,4.24,309081
Tennessee,7126489,5487396,7.78,1.61,88372,1.08,59341,4.42,426919
Texas,30503301,23487541,8.1,1.68,393815,1.13,264446,4.6,1902490
Utah,3417734,2631655,7.45,1.54,40584,1.04,27252,4.23,196058
Vermont,647464,498547,9.57,1.98,9876,1.33,6631,5.44,47710
Virginia,8715698,6711087,8.14,1.68,113080,1.13,75933,4.62,546282
Washington,7812880,6015917,9.71,2.01,120918,1.35,81196,5.52,584145
West Virginia,1770071,1362954,7.41,1.53,20905,1.03,14038,4.21,100994
Wisconsin,5910955,4551435,7.73,1.6,72827,1.07,48903,4.39,351825
Wyoming,584057,449723,7.42,1.54,6907,1.03,4638,4.21,33369
